Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Barr Faughny,Nova Zelândia,Chocolate com Amêndoas,13/01/2022,"$ 5.558,00",127
Mallorie Waber,Austrália,Barras 85% Cacau,26/08/2022,"$ 2.541,00",53
Ches Bonnell,Canadá,Eclairs,10/01/2022,"$ 1.876,00",172
Gigi Bohling,Austrália,Chocolate Branco,11/05/2022,"$ 5.523,00",87
Beverie Moffet,Nova Zelândia,Barras 85% Cacau,30/08/2022,"$ 11.200,00",22
Kaine Padly,EUA,Barras Recheadas com Caramelo,21/07/2022,"$ 5.593,00",122
Mallorie Waber,Austrália,Chocolate com Amêndoas,01/08/2022,"$ 7.882,00",125
Brien Boise,Canadá,Barras 85% Cacau,17/02/2022,"$ 10.241,00",259
Brien Boise,Austrália,Chocolate para Beber,27/07/2022,"$ 6.832,00",156
Dotty Strutley,EUA,Chocolate de Laranja,23/02/2022,"$ 1.379,00",107
Rafaelita Blaksland,Austrália,Pedacinhos 50% Cacau,22/03/2022,"$ 3.010,00",40
Dennison Crosswaite,Índia,99% Cacau Puro,23/06/2022,"$ 6.888,00",311
Curtice Advani,Reino Unido,Chocolate Branco,01/02/2022,"$ 1.540,00",73
Kelci Walkden,Austrália,Chocolate de Menta (After Nines),02/03/2022,"$ 6.916,00",288
Gigi Bohling,Reino Unido,Barras de Frutas e Castanhas,06/04/2022,"$ 1.232,00",86
Gunar Cockshoot,Austrália,Chocolate de Framboesa,17/03/2022,"$ 602,00",72
Curtice Advani,Reino Unido,Barras de Frutas e Castanhas,24/06/2022,"$ 10.927,00",136
Barr Faughny,Canadá,Pedacinhos 50% Cacau,19/07/2022,"$ 10.185,00",303
Curtice Advani,EUA,Barras Finas Picantes,11/07/2022,"$ 1.603,00",264
Brien Boise,Índia,Chocolate com Amêndoas,13/01/2022,"$ 2.170,00",218
Oby Sorrel,Nova Zelândia,Chocolate Salgado Suave,07/07/2022,"$ 8.673,00",60
Jan Morforth,Índia,Barras 85% Cacau,25/05/2022,"$ 4.760,00",418
Marney O'Breen,Índia,Barras de Frutas e Castanhas,13/04/2022,"$ 4.753,00",151
Andria Kimpton,Nova Zelândia,Pedacinhos 50% Cacau,02/03/2022,"$ 3.374,00",202
Gunar Cockshoot,Canadá,Chocolate de Framboesa,23/06/2022,"$ 2.058,00",126
Kelci Walkden,EUA,Chocolate para Beber,26/07/2022,"$ 6.454,00",160
Van Tuxwell,Canadá,Chocolate Branco,22/03/2022,"$ 420,00",3
Rafaelita Blaksland,EUA,Gotas de Chocolate Culinário,09/06/2022,"$ 2.863,00",58
Van Tuxwell,Austrália,Barras Recheadas com Caramelo,17/05/2022,"$ 5.936,00",59
Ches Bonnell,Nova Zelândia,Cubos de Manteiga de Amendoim,04/03/2022,"$ 889,00",273
Kelci Walkden,Canadá,Barras de Chocolate ao Leite,07/07/2022,"$ 16.016,00",28
Dennison Crosswaite,Canadá,Amêndoas Cobertas com Chocolate,13/01/2022,"$ 10.479,00",118
Curtice Advani,Austrália,Chocolate com Amêndoas,13/07/2022,"$ 2.912,00",75
Madelene Upcott,Austrália,Barras 85% Cacau,16/06/2022,"$ 1.575,00",329
Gigi Bohling,Reino Unido,Pedacinhos 50% Cacau,18/07/2022,"$ 8.197,00",69
Ches Bonnell,Reino Unido,Chocolate com Mel de Manuka,30/05/2022,"$ 4.221,00",395
Gigi Bohling,Reino Unido,Pedacinhos 70% Cacau,21/06/2022,"$ 840,00",81
Jehu Rudeforth,Austrália,Cubos de Manteiga de Amendoim,24/06/2022,"$ 5.691,00",38
Marney O'Breen,Índia,Eclairs,13/01/2022,"$ 3.472,00",96
Curtice Advani,Canadá,Barras de Frutas e Castanhas,04/04/2022,"$ 4.193,00",195
Kaine Padly,Reino Unido,Chocolate Salgado Suave,08/06/2022,"$ 9.016,00",554
Karlen McCaffrey,Canadá,Barras Finas Picantes,02/08/2022,"$ 6.328,00",47
Kelci Walkden,EUA,Calda de Chocolate Orgânica,21/07/2022,"$ 9.870,00",152
Curtice Advani,Índia,Barras Finas Picantes,20/06/2022,"$ 161,00",134
Roddy Speechley,Índia,Chocolate de Menta (After Nines),22/06/2022,"$ 2.576,00",112
Camilla Castle,Austrália,Barras Recheadas com Caramelo,02/05/2022,"$ 3.178,00",16
Curtice Advani,Austrália,99% Cacau Puro,07/01/2022,"$ 4.676,00",84
Mallorie Waber,Reino Unido,Pedacinhos 50% Cacau,21/02/2022,"$ 5.502,00",99
Ches Bonnell,Canadá,Gotas de Chocolate Culinário,21/03/2022,"$ 7.462,00",371
Van Tuxwell,Reino Unido,Chocolate para Beber,04/04/2022,"$ 5.803,00",136
Gunar Cockshoot,Canadá,Barras de Frutas e Castanhas,24/03/2022,"$ 13.888,00",203
Gunar Cockshoot,Nova Zelândia,Barras Finas Picantes,28/06/2022,"$ 6.867,00",183
Gunar Cockshoot,Austrália,Chocolate para Beber,14/01/2022,"$ 2.317,00",195
Karlen McCaffrey,Nova Zelândia,Barras de Frutas e Castanhas,07/02/2022,"$ 1.218,00",135
Dennison Crosswaite,Nova Zelândia,Chocolate para Beber,11/01/2022,"$ 4.109,00",197
Jehu Rudeforth,Índia,99% Cacau Puro,25/02/2022,"$ 1.953,00",242
Dotty Strutley,Austrália,Chocolate de Menta com Flocos,01/08/2022,"$ 6.790,00",25
Roddy Speechley,Austrália,Chocolate de Menta com Flocos,05/05/2022,"$ 6.797,00",252
Madelene Upcott,Nova Zelândia,Chocolate de Framboesa,18/05/2022,"$ 9.226,00",415
Dotty Strutley,Nova Zelândia,Amêndoas Cobertas com Chocolate,04/01/2022,"$ 5.733,00",348
Roddy Speechley,Nova Zelândia,Pedacinhos 50% Cacau,09/05/2022,"$ 4.312,00",211
Rafaelita Blaksland,Índia,Chocolate Salgado Suave,06/05/2022,"$ 1.638,00",81
Husein Augar,Reino Unido,Chocolate Branco,13/01/2022,"$ 10.815,00",145
Roddy Speechley,Austrália,Chocolate com Amêndoas,24/06/2022,"$ 4.466,00",74
Van Tuxwell,EUA,Barras Recheadas com Caramelo,14/02/2022,"$ 987,00",21
Camilla Castle,Austrália,99% Cacau Puro,18/01/2022,"$ 4.669,00",101
Kaine Padly,Índia,Barras de Chocolate ao Leite,02/05/2022,"$ 2.905,00",91
Ches Bonnell,Austrália,Chocolate Salgado Suave,16/05/2022,"$ 7.490,00",54
Mallorie Waber,EUA,Chocolate com Amêndoas,28/01/2022,"$ 6.986,00",368
Kaine Padly,Canadá,99% Cacau Puro,24/06/2022,"$ 1.288,00",409
Oby Sorrel,Reino Unido,Chocolate de Menta (After Nines),18/07/2022,"$ 2.345,00",104
Gunar Cockshoot,Reino Unido,Eclairs,13/04/2022,"$ 3.619,00",164
Dotty Strutley,EUA,Barras Recheadas com Caramelo,15/04/2022,"$ 16.982,00",76
Jan Morforth,Índia,Cubos de Manteiga de Amendoim,04/01/2022,"$ 8.092,00",178
Husein Augar,Austrália,Eclairs,04/07/2022,"$ 6.993,00",31
Beverie Moffet,EUA,Chocolate Salgado Suave,24/03/2022,"$ 2.317,00",352
Camilla Castle,Austrália,Chocolate com Mel de Manuka,17/03/2022,"$ 637,00",169
Oby Sorrel,Austrália,Chocolate com Amêndoas,15/02/2022,"$ 6.034,00",223
Jan Morforth,EUA,Chocolate de Laranja,29/06/2022,"$ 980,00",146
Gigi Bohling,EUA,Barras de Frutas e Castanhas,24/05/2022,"$ 2.821,00",112
Mallorie Waber,Reino Unido,Barras de Chocolate ao Leite,10/01/2022,"$ 3.563,00",284
Curtice Advani,EUA,Chocolate de Framboesa,15/03/2022,"$ 2.996,00",139
Marney O'Breen,Canadá,Barras de Chocolate ao Leite,08/02/2022,"$ 2.436,00",309
Brien Boise,Índia,Barras Recheadas com Caramelo,25/02/2022,"$ 1.540,00",100
Gunar Cockshoot,EUA,Eclairs,03/05/2022,"$ 6.916,00",42
Roddy Speechley,EUA,Barras de Frutas e Castanhas,14/06/2022,"$ 5.509,00",24
Gunar Cockshoot,Índia,Pedacinhos 50% Cacau,09/08/2022,"$ 12.992,00",83
Wilone O'Kielt,Nova Zelândia,Chocolate com Mel de Manuka,11/07/2022,"$ 3.724,00",234
Kaine Padly,Reino Unido,Chocolate com Mel de Manuka,14/01/2022,"$ 7.133,00",118
Van Tuxwell,Canadá,Chocolate com Mel de Manuka,24/02/2022,"$ 8.617,00",46
Wilone O'Kielt,Nova Zelândia,Chocolate com Amêndoas,15/03/2022,"$ 9.198,00",144
Oby Sorrel,Nova Zelândia,Gotas de Chocolate Culinário,25/04/2022,"$ 11.823,00",47
Dennison Crosswaite,Austrália,Calda de Chocolate Orgânica,10/05/2022,"$ 5.775,00",41
Marney O'Breen,Austrália,Barras Finas Picantes,23/06/2022,"$ 13.125,00",275
Beverie Moffet,Canadá,Chocolate Salgado Suave,28/02/2022,"$ 14.287,00",370
Brien Boise,EUA,Calda de Chocolate Orgânica,25/05/2022,"$ 16.233,00",138
Roddy Speechley,Nova Zelândia,Gotas de Chocolate Culinário,22/02/2022,"$ 5.313,00",215
Van Tuxwell,Reino Unido,Barras 85% Cacau,11/07/2022,"$ 3.577,00",134
Marney O'Breen,Canadá,Barras Finas Picantes,03/01/2022,"$ 3.528,00",336
Rafaelita Blaksland,Nova Zelândia,Pedacinhos 70% Cacau,24/08/2022,"$ 679,00",280
Beverie Moffet,EUA,Pedacinhos 50% Cacau,28/07/2022,"$ 2.450,00",352
Brien Boise,EUA,Chocolate de Menta com Flocos,25/05/2022,"$ 10.577,00",150
Karlen McCaffrey,Nova Zelândia,Eclairs,06/05/2022,"$ 2.597,00",177
Barr Faughny,Índia,Chocolate para Beber,28/01/2022,"$ 2.219,00",142
Marney O'Breen,Reino Unido,Chocolate de Laranja,06/06/2022,"$ 11.319,00",12
Brien Boise,Nova Zelândia,Gotas de Chocolate Culinário,12/07/2022,"$ 5.978,00",24
Ches Bonnell,Canadá,Barras Finas Picantes,05/08/2022,"$ 5.327,00",183
Brien Boise,EUA,Chocolate de Laranja,28/01/2022,"$ 6.020,00",147
Kaine Padly,Índia,Barras Finas Picantes,31/08/2022,"$ 5.614,00",137
Mallorie Waber,EUA,Pedacinhos 50% Cacau,19/04/2022,"$ 1.736,00",13
Mallorie Waber,Reino Unido,Chocolate de Menta com Flocos,29/06/2022,"$ 6.384,00",2
Beverie Moffet,Índia,Amêndoas Cobertas com Chocolate,24/02/2022,"$ 3.577,00",261
Madelene Upcott,Reino Unido,Chocolate Salgado Suave,04/03/2022,"$ 14.539,00",84
Gigi Bohling,Índia,Eclairs,21/06/2022,"$ 3.493,00",68
Rafaelita Blaksland,Austrália,Calda de Chocolate Orgânica,26/01/2022,"$ 994,00",105
Oby Sorrel,Nova Zelândia,Chocolate Branco,10/06/2022,"$ 4.361,00",40
Andria Kimpton,Reino Unido,Chocolate para Beber,23/05/2022,"$ 1.554,00",65
Kelci Walkden,Índia,Barras de Chocolate ao Leite,15/04/2022,"$ 966,00",107
Karlen McCaffrey,Nova Zelândia,Barras Recheadas com Caramelo,31/01/2022,"$ 5.334,00",227
Andria Kimpton,Nova Zelândia,Calda de Chocolate Orgânica,04/03/2022,"$ 4.935,00",39
Barr Faughny,Nova Zelândia,Chocolate de Menta (After Nines),19/04/2022,"$ 10.024,00",84
Beverie Moffet,Reino Unido,Chocolate com Amêndoas,16/05/2022,"$ 2.506,00",100
Oby Sorrel,Austrália,Chocolate de Framboesa,17/02/2022,"$ 1.043,00",120
Dennison Crosswaite,EUA,Chocolate de Framboesa,18/01/2022,"$ 6.524,00",257
Roddy Speechley,Canadá,Chocolate de Laranja,09/02/2022,"$ 8.148,00",85
Mallorie Waber,Canadá,Chocolate de Laranja,23/03/2022,"$ 3.577,00",178
Madelene Upcott,Nova Zelândia,Barras Recheadas com Caramelo,01/02/2022,"$ 3.374,00",151
Mallorie Waber,Índia,Chocolate para Beber,07/03/2022,"$ 3.948,00",142
Ches Bonnell,Reino Unido,Chocolate Branco,03/01/2022,"$ 3.269,00",226
Ches Bonnell,EUA,Chocolate Branco,11/02/2022,"$ 5.271,00",341
Dennison Crosswaite,Nova Zelândia,Chocolate de Laranja,16/03/2022,"$ 4.571,00",140
Dotty Strutley,Índia,Chocolate Branco,15/08/2022,"$ 12.327,00",330
Gigi Bohling,Índia,Chocolate com Mel de Manuka,12/05/2022,"$ 4.935,00",73
Van Tuxwell,Índia,Barras Finas Picantes,11/04/2022,"$ 6.167,00",4
Jan Morforth,Nova Zelândia,Chocolate de Menta com Flocos,30/06/2022,"$ 18.340,00",285
Dotty Strutley,Nova Zelândia,Chocolate Branco,15/06/2022,"$ 7.014,00",60
Rafaelita Blaksland,Canadá,Barras Recheadas com Caramelo,01/08/2022,"$ 7.119,00",101
Kaine Padly,EUA,Barras de Chocolate ao Leite,15/06/2022,"$ 15.491,00",58
Brien Boise,Índia,Chocolate de Menta (After Nines),16/06/2022,"$ 5.747,00",45
Oby Sorrel,Nova Zelândia,Chocolate de Framboesa,13/05/2022,"$ 4.550,00",281
Dennison Crosswaite,EUA,Chocolate para Beber,10/05/2022,"$ 2.191,00",138
Oby Sorrel,Índia,Eclairs,25/08/2022,"$ 5.663,00",322
Ches Bonnell,Nova Zelândia,Calda de Chocolate Orgânica,15/07/2022,"$ 7.623,00",85
Gigi Bohling,Reino Unido,Gotas de Chocolate Culinário,16/05/2022,"$ 9.023,00",409
Jan Morforth,Austrália,Pedacinhos 50% Cacau,14/06/2022,"$ 3.402,00",182
Beverie Moffet,Austrália,Chocolate Salgado Suave,25/01/2022,"$ 10.507,00",467
Ches Bonnell,EUA,Calda de Chocolate Orgânica,28/07/2022,"$ 7.721,00",14
Brien Boise,Canadá,Chocolate de Menta com Flocos,28/01/2022,"$ 5.033,00",178
Kaine Padly,Reino Unido,Chocolate de Laranja,29/06/2022,"$ 1.960,00",191
Karlen McCaffrey,Austrália,Pedacinhos 70% Cacau,24/06/2022,"$ 238,00",317
Gunar Cockshoot,Canadá,Chocolate de Menta com Flocos,01/07/2022,"$ 7.756,00",410
Roddy Speechley,EUA,Cubos de Manteiga de Amendoim,25/02/2022,"$ 1.736,00",137
Curtice Advani,Canadá,Chocolate Salgado Suave,01/08/2022,"$ 2.660,00",12
Oby Sorrel,Austrália,Barras de Chocolate ao Leite,21/06/2022,"$ 7.672,00",254
Camilla Castle,Nova Zelândia,Barras Finas Picantes,25/01/2022,"$ 11.564,00",24
Gigi Bohling,Reino Unido,Barras de Chocolate ao Leite,17/05/2022,"$ 1.365,00",232
Andria Kimpton,Austrália,Barras 85% Cacau,23/08/2022,"$ 4.186,00",233
Camilla Castle,Austrália,Chocolate Salgado Suave,03/03/2022,"$ 7.406,00",118
Roddy Speechley,Índia,Barras Recheadas com Caramelo,30/05/2022,"$ 8.911,00",543
Karlen McCaffrey,EUA,Chocolate para Beber,29/06/2022,"$ 112,00",223
Andria Kimpton,Canadá,Calda de Chocolate Orgânica,04/01/2022,"$ 8.204,00",204
Jehu Rudeforth,Austrália,Chocolate para Beber,14/01/2022,"$ 2.611,00",65
Karlen McCaffrey,EUA,Chocolate de Menta com Flocos,15/02/2022,"$ 15.652,00",53
Curtice Advani,Nova Zelândia,Barras Finas Picantes,10/01/2022,"$ 4.074,00",469
Madelene Upcott,EUA,Chocolate Branco,04/05/2022,"$ 12.250,00",213
Andria Kimpton,EUA,Barras Finas Picantes,23/05/2022,"$ 2.366,00",5
Barr Faughny,Nova Zelândia,Barras de Frutas e Castanhas,26/04/2022,"$ 1.687,00",147
Oby Sorrel,Canadá,Calda de Chocolate Orgânica,05/07/2022,"$ 1.232,00",74
Madelene Upcott,Reino Unido,Calda de Chocolate Orgânica,21/07/2022,"$ 6.965,00",163
Dotty Strutley,EUA,Chocolate de Menta com Flocos,21/02/2022,"$ 5.292,00",248
Kelci Walkden,EUA,Chocolate de Laranja,03/02/2022,"$ 1.379,00",138
Gigi Bohling,Austrália,Barras Recheadas com Caramelo,08/07/2022,"$ 8.001,00",151
Mallorie Waber,Índia,Pedacinhos 50% Cacau,31/05/2022,"$ 588,00",139
Van Tuxwell,Nova Zelândia,Chocolate de Menta com Flocos,27/06/2022,"$ 4.046,00",103
Van Tuxwell,Índia,Pedacinhos 50% Cacau,13/05/2022,"$ 5.103,00",129
Van Tuxwell,EUA,Chocolate com Mel de Manuka,31/05/2022,"$ 2.317,00",102
Wilone O'Kielt,EUA,Chocolate de Laranja,28/02/2022,"$ 7.042,00",37
Barr Faughny,Nova Zelândia,Eclairs,28/03/2022,"$ 6.713,00",31
Gigi Bohling,EUA,Chocolate de Menta (After Nines),14/01/2022,"$ 1.848,00",227
Barr Faughny,Nova Zelândia,Chocolate de Menta com Flocos,21/02/2022,"$ 6.440,00",145
Dennison Crosswaite,Canadá,Barras 85% Cacau,01/08/2022,"$ 10.885,00",90
Beverie Moffet,Nova Zelândia,Chocolate Salgado Suave,19/05/2022,"$ 2.387,00",59
Husein Augar,EUA,Chocolate Branco,13/07/2022,"$ 2.030,00",60
Andria Kimpton,Austrália,Cubos de Manteiga de Amendoim,20/04/2022,"$ 6.678,00",148
Dennison Crosswaite,Índia,Barras 85% Cacau,30/06/2022,"$ 4.515,00",22
Curtice Advani,Reino Unido,Pedacinhos 50% Cacau,08/03/2022,"$ 3.374,00",142
Gunar Cockshoot,EUA,Barras de Frutas e Castanhas,09/03/2022,"$ 5.852,00",93
Oby Sorrel,Canadá,Chocolate de Framboesa,16/06/2022,"$ 1.750,00",208
Gigi Bohling,Reino Unido,Chocolate para Beber,30/06/2022,"$ 5.782,00",42
Kelci Walkden,Índia,Chocolate de Menta com Flocos,28/07/2022,"$ 2.870,00",120
Karlen McCaffrey,Canadá,Cubos de Manteiga de Amendoim,12/08/2022,"$ 3.094,00",159
Barr Faughny,Reino Unido,Chocolate de Menta com Flocos,07/07/2022,"$ 3.724,00",316
Barr Faughny,EUA,Barras 85% Cacau,25/08/2022,"$ 12.761,00",47
Husein Augar,Canadá,Eclairs,17/01/2022,"$ 3.696,00",233
Jan Morforth,Austrália,Pedacinhos 70% Cacau,04/03/2022,"$ 5.222,00",384
Marney O'Breen,Nova Zelândia,Barras de Frutas e Castanhas,25/08/2022,"$ 8.939,00",4
Ches Bonnell,Reino Unido,Cubos de Manteiga de Amendoim,15/04/2022,"$ 2.156,00",260
Kaine Padly,EUA,Calda de Chocolate Orgânica,11/03/2022,"$ 2.380,00",22
Camilla Castle,EUA,Chocolate de Framboesa,20/05/2022,"$ 3.339,00",18
Brien Boise,Nova Zelândia,Chocolate com Mel de Manuka,14/06/2022,"$ 14.980,00",42
Jehu Rudeforth,Nova Zelândia,Chocolate de Menta (After Nines),14/04/2022,"$ 1.512,00",73
Jehu Rudeforth,EUA,Chocolate Salgado Suave,07/07/2022,"$ 6.657,00",154
Madelene Upcott,Índia,Chocolate de Menta com Flocos,24/08/2022,"$ 3.836,00",71
Jehu Rudeforth,Índia,Eclairs,24/02/2022,"$ 8.771,00",127
Karlen McCaffrey,Canadá,Chocolate de Framboesa,09/05/2022,"$ 651,00",224
Kaine Padly,Austrália,Pedacinhos 70% Cacau,08/02/2022,"$ 6.706,00",223
Roddy Speechley,Reino Unido,Pedacinhos 70% Cacau,24/03/2022,"$ 1.421,00",284
Rafaelita Blaksland,EUA,Chocolate para Beber,20/06/2022,"$ 8.526,00",73
Mallorie Waber,Canadá,Chocolate com Mel de Manuka,07/03/2022,"$ 1.435,00",112
Kaine Padly,Austrália,Barras de Frutas e Castanhas,20/06/2022,"$ 7.434,00",85
Oby Sorrel,Nova Zelândia,Calda de Chocolate Orgânica,17/02/2022,"$ 15.316,00",270
Madelene Upcott,Reino Unido,99% Cacau Puro,26/01/2022,"$ 10.479,00",45
Madelene Upcott,Austrália,Chocolate de Menta com Flocos,02/05/2022,"$ 2.751,00",153
Curtice Advani,Canadá,99% Cacau Puro,07/07/2022,"$ 12.586,00",7
Rafaelita Blaksland,Austrália,Gotas de Chocolate Culinário,22/08/2022,"$ 2.786,00",51
Karlen McCaffrey,Austrália,Chocolate de Menta (After Nines),11/08/2022,"$ 2.303,00",67
Marney O'Breen,Reino Unido,99% Cacau Puro,13/01/2022,"$ 8.113,00",194
Gunar Cockshoot,Austrália,Pedacinhos 50% Cacau,02/03/2022,"$ 12.271,00",116
Marney O'Breen,Austrália,Amêndoas Cobertas com Chocolate,27/07/2022,"$ 11.298,00",41
Kelci Walkden,Nova Zelândia,Chocolate para Beber,10/03/2022,"$ 15.855,00",111
Beverie Moffet,EUA,Barras 85% Cacau,23/08/2022,"$ 12.404,00",334
Roddy Speechley,EUA,Eclairs,25/04/2022,"$ 3.990,00",155
Dennison Crosswaite,Reino Unido,Barras de Chocolate ao Leite,07/03/2022,"$ 10.808,00",407
Wilone O'Kielt,Reino Unido,Calda de Chocolate Orgânica,12/07/2022,"$ 4.858,00",52
Madelene Upcott,EUA,Chocolate de Laranja,16/05/2022,"$ 7.742,00",138
Gunar Cockshoot,Índia,Chocolate Salgado Suave,02/03/2022,"$ 3.752,00",70
Marney O'Breen,Nova Zelândia,Barras 85% Cacau,30/05/2022,"$ 1.218,00",149
Marney O'Breen,Reino Unido,Chocolate com Mel de Manuka,10/06/2022,"$ 10.983,00",179
Brien Boise,EUA,99% Cacau Puro,25/07/2022,"$ 6.769,00",353
Beverie Moffet,Nova Zelândia,Chocolate de Menta com Flocos,09/06/2022,"$ 4.361,00",97
Dennison Crosswaite,EUA,Barras de Chocolate ao Leite,12/05/2022,"$ 777,00",60
Gunar Cockshoot,EUA,Chocolate para Beber,09/05/2022,"$ 3.843,00",5
Brien Boise,Canadá,Chocolate com Mel de Manuka,09/08/2022,"$ 6.930,00",182
Van Tuxwell,Índia,Amêndoas Cobertas com Chocolate,13/04/2022,"$ 5.733,00",114
Andria Kimpton,EUA,Barras Recheadas com Caramelo,02/05/2022,"$ 8.393,00",46
Dotty Strutley,EUA,99% Cacau Puro,09/08/2022,"$ 3.822,00",320
Camilla Castle,Austrália,Chocolate de Framboesa,23/08/2022,"$ 6.342,00",178
Gunar Cockshoot,Índia,Barras Finas Picantes,13/05/2022,"$ 6.510,00",170
Karlen McCaffrey,EUA,Chocolate com Mel de Manuka,01/02/2022,"$ 10.171,00",67
Camilla Castle,EUA,Pedacinhos 50% Cacau,23/06/2022,"$ 5.908,00",301
Madelene Upcott,Reino Unido,Amêndoas Cobertas com Chocolate,24/05/2022,"$ 10.164,00",134
Jan Morforth,Canadá,Chocolate de Menta com Flocos,01/04/2022,"$ 1.064,00",211
Camilla Castle,Canadá,Pedacinhos 70% Cacau,27/07/2022,"$ 9.716,00",151
Ches Bonnell,Índia,Cubos de Manteiga de Amendoim,27/01/2022,"$ 22.050,00",208
Jan Morforth,Índia,Amêndoas Cobertas com Chocolate,12/08/2022,"$ 2.541,00",134
Gigi Bohling,Canadá,Chocolate com Amêndoas,01/02/2022,"$ 9.989,00",49
Rafaelita Blaksland,Índia,Chocolate de Menta (After Nines),02/03/2022,"$ 4.739,00",204
Kelci Walkden,Austrália,99% Cacau Puro,30/06/2022,"$ 3.185,00",34
Dotty Strutley,Austrália,Barras Finas Picantes,17/01/2022,"$ 8.225,00",91
Brien Boise,EUA,Barras de Chocolate ao Leite,07/07/2022,"$ 14.301,00",130
Mallorie Waber,Nova Zelândia,Chocolate de Menta com Flocos,31/01/2022,"$ 1.316,00",107
Beverie Moffet,Reino Unido,99% Cacau Puro,10/08/2022,"$ 3.486,00",121
Beverie Moffet,EUA,Cubos de Manteiga de Amendoim,18/08/2022,"$ 13.930,00",339
Brien Boise,Nova Zelândia,Chocolate Branco,15/06/2022,"$ 5.509,00",321
Marney O'Breen,EUA,Gotas de Chocolate Culinário,26/01/2022,"$ 8.470,00",9
Kelci Walkden,EUA,Barras Finas Picantes,29/04/2022,"$ 77,00",69
Mallorie Waber,Canadá,Chocolate Branco,03/03/2022,"$ 3.381,00",72
Kaine Padly,Austrália,Chocolate com Amêndoas,22/02/2022,"$ 4.102,00",392
Oby Sorrel,EUA,Chocolate Salgado Suave,04/03/2022,"$ 3.577,00",158
Dennison Crosswaite,Índia,Chocolate Salgado Suave,07/07/2022,"$ 2.975,00",9
Camilla Castle,Nova Zelândia,Barras Recheadas com Caramelo,17/06/2022,"$ 4.137,00",347
Jan Morforth,Canadá,Barras Recheadas com Caramelo,02/08/2022,"$ 9.541,00",114
Oby Sorrel,EUA,Gotas de Chocolate Culinário,12/08/2022,"$ 8.001,00",120
Madelene Upcott,Nova Zelândia,Cubos de Manteiga de Amendoim,28/01/2022,"$ 5.152,00",333
Kelci Walkden,Austrália,Chocolate de Laranja,29/04/2022,"$ 11.116,00",432
Marney O'Breen,Austrália,Chocolate com Mel de Manuka,05/04/2022,"$ 13.076,00",236
Kaine Padly,Canadá,Chocolate com Mel de Manuka,18/01/2022,"$ 10.213,00",135
Jehu Rudeforth,Reino Unido,Gotas de Chocolate Culinário,16/05/2022,"$ 2.485,00",97
Kelci Walkden,Austrália,Chocolate Branco,24/08/2022,"$ 8.715,00",168
Curtice Advani,Índia,Barras 85% Cacau,18/01/2022,"$ 273,00",402
Kaine Padly,EUA,Eclairs,22/08/2022,"$ 7.623,00",10
Gunar Cockshoot,Reino Unido,99% Cacau Puro,07/03/2022,"$ 7,00",84
Beverie Moffet,Reino Unido,Amêndoas Cobertas com Chocolate,04/03/2022,"$ 3.010,00",69
Dotty Strutley,Canadá,Chocolate com Mel de Manuka,22/04/2022,"$ 11.550,00",111
Kaine Padly,Austrália,Barras de Chocolate ao Leite,09/06/2022,"$ 4.046,00",89
Jan Morforth,Canadá,Barras de Frutas e Castanhas,25/07/2022,"$ 8.904,00",199
Jan Morforth,Índia,Chocolate Salgado Suave,03/08/2022,"$ 11.298,00",89
Rafaelita Blaksland,Austrália,Chocolate com Mel de Manuka,03/08/2022,"$ 4.396,00",131
Jehu Rudeforth,Reino Unido,Barras de Chocolate ao Leite,03/05/2022,"$ 12.068,00",227
Husein Augar,Canadá,Chocolate de Menta (After Nines),19/01/2022,"$ 9.772,00",301
Roddy Speechley,EUA,Pedacinhos 50% Cacau,11/02/2022,"$ 10.458,00",316
Van Tuxwell,Índia,Chocolate com Amêndoas,14/06/2022,"$ 6.426,00",390
Kelci Walkden,EUA,Pedacinhos 50% Cacau,23/03/2022,"$ 6.188,00",223
Madelene Upcott,Canadá,Barras 85% Cacau,17/02/2022,"$ 7.504,00",101
Dennison Crosswaite,Canadá,Chocolate Salgado Suave,17/03/2022,"$ 1.750,00",479
Mallorie Waber,Austrália,Barras Finas Picantes,29/06/2022,"$ 5.439,00",287
Ches Bonnell,Canadá,Amêndoas Cobertas com Chocolate,24/08/2022,"$ 15.547,00",269
Gigi Bohling,Canadá,Barras Finas Picantes,04/07/2022,"$ 11.956,00",277
Roddy Speechley,Nova Zelândia,Chocolate com Amêndoas,28/03/2022,"$ 2.723,00",67
Curtice Advani,Índia,Chocolate Salgado Suave,19/04/2022,"$ 19.327,00",135
Ches Bonnell,Nova Zelândia,Chocolate de Menta com Flocos,18/01/2022,"$ 9.058,00",229
Van Tuxwell,Nova Zelândia,Barras de Frutas e Castanhas,17/01/2022,"$ 2.996,00",88
Andria Kimpton,Nova Zelândia,Chocolate de Menta com Flocos,15/02/2022,"$ 8.848,00",211
Andria Kimpton,Reino Unido,Barras de Chocolate ao Leite,11/02/2022,"$ 14.336,00",293
Camilla Castle,EUA,Chocolate com Mel de Manuka,21/03/2022,"$ 16.401,00",179
Gunar Cockshoot,Nova Zelândia,Chocolate com Amêndoas,05/01/2022,"$ 5.173,00",129
